LOG_NO,COMPLAINT_DATE,ASSIGNMENT,CASE_TYPE,CURRENT_STATUS,CURRENT_CATEGORY,FINDING_CODE,POLICE_SHOOTING,BEAT,RACE_OF_COMPLAINANT,SEX_OF_COMPLAINANT,AGE_OF_COMPLAINANT,COMPLAINT_HOUR,COMPLAINT_DAY,COMPLAINT_MONTH
1008899,09/01/2007 12:34:36 AM,IPRA,Complaint,Closed,Miscellaneous,NO AFFIDAVIT,No,433,Hispanic,Male,30-39,0,7,9
1008901,09/01/2007 04:16:33 AM,IPRA,Complaint,Closed,Miscellaneous,NOT SUSTAINED,No,1933,African American / Black,Female,20-29,4,7,9
1008901,09/01/2007 04:16:33 AM,IPRA,Complaint,Closed,Miscellaneous,NOT SUSTAINED,No,1933,African American / Black,Female,20-29,4,7,9
1008910,09/01/2007 03:06:08 PM,IPRA,Complaint,Closed,Miscellaneous,NOT SUSTAINED,No,1135 | 1134,African American / Black,Male,20-29,15,7,9
1008913,09/01/2007 05:02:20 PM,IPRA,Complaint,Closed,Excessive Force,UNFOUNDED,No,2512,White,Female,0-19,17,7,9
1008914,09/01/2007 06:55:06 PM,IPRA,Complaint,Closed,Excessive Force,No Finding,No,2024,African American / Black,Female,30-39,18,7,9
1008915,09/01/2007 07:03:03 PM,IPRA,Complaint,Closed,Excessive Force,NOT SUSTAINED,No,523,African American / Black,Male,20-29,19,7,9
1008927,09/02/2007 11:56:46 AM,IPRA,Complaint,Closed,Excessive Force,NOT SUSTAINED,No,1011,African American / Black,Male,20-29,11,1,9
1008927,09/02/2007 11:56:46 AM,IPRA,Complaint,Closed,Excessive Force,NOT SUSTAINED,No,1011,African American / Black,Male,20-29,11,1,9
1008928,09/02/2007 01:18:55 PM,IPRA,Complaint,Closed,Excessive Force,NOT SUSTAINED,No,411,African American / Black,Female,20-29,13,1,9
1008936,09/02/2007 08:17:09 PM,IPRA,Complaint,Closed,Verbal Abuse,UNFOUNDED,No,832,African American / Black,Male,30-39,20,1,9
1008939,09/02/2007 09:13:19 PM,IPRA,Complaint,Closed,Excessive Force,UNFOUNDED,No,1323,African American / Black,Female,30-39,21,1,9
1008941,09/02/2007 09:23:34 PM,IPRA,Complaint,Closed,Excessive Force,UNFOUNDED,No,1032,Hispanic,Male,20-29,21,1,9
1008941,09/02/2007 09:23:34 PM,IPRA,Complaint,Closed,Excessive Force,UNFOUNDED,No,1032,Hispanic,Female,30-39,21,1,9
1008941,09/02/2007 09:23:34 PM,IPRA,Complaint,Closed,Excessive Force,UNFOUNDED,No,1032,Hispanic,Male,30-39,21,1,9
1008945,09/02/2007 10:35:02 PM,IPRA,Complaint,Closed,Miscellaneous,No Finding,No,2534,African American / Black,Male,20-29,22,1,9
1008947,09/03/2007 05:19:23 AM,IPRA,Complaint,Closed,Domestic Violence,No Finding,No,632,African American / Black,Female,30-39,5,2,9
1008953,09/03/2007 01:32:50 PM,IPRA,Complaint,Closed,Excessive Force,UNFOUNDED,No,313,African American / Black,Male,30-39,13,2,9
1008961,09/03/2007 08:42:21 PM,IPRA,Complaint,Closed,Excessive Force,No Finding,No,1923,White,Male,30-39,20,2,9
1008963,09/03/2007 09:16:34 PM,IPRA,Complaint,Closed,Miscellaneous,NOT SUSTAINED,No,0 | 2431,African American / Black,Male,30-39,21,2,9
1008965,09/03/2007 11:02:03 PM,IPRA,Complaint,Closed,Excessive Force,UNFOUNDED,No,1133,African American / Black,Male,0-19,23,2,9
1008968,09/04/2007 09:23:04 AM,IPRA,Complaint,Closed,Excessive Force,UNFOUNDED,No,735,African American / Black,Male,50-59,9,3,9
1008974,09/04/2007 11:47:51 AM,IPRA,Complaint,Closed,Excessive Force,NOT SUSTAINED,No,1132,African American / Black,Male,0-19,11,3,9
1008974,09/04/2007 11:47:51 AM,IPRA,Complaint,Closed,Excessive Force,NOT SUSTAINED,No,1132,African American / Black,Female,30-39,11,3,9
1008976,09/04/2007 12:52:11 PM,IPRA,Complaint,Closed,Excessive Force,UNFOUNDED,No,2122,African American / Black,Female,40-49,12,3,9
1008981,09/04/2007 02:21:32 PM,IPRA,Complaint,Closed,Excessive Force,NOT SUSTAINED,No,422,African American / Black,Female,50-59,14,3,9
1008989,09/04/2007 06:46:24 PM,IPRA,Complaint,Closed,Excessive Force,No Finding,No,1132,African American / Black,Male,0-19,18,3,9
1008989,09/04/2007 06:46:24 PM,IPRA,Complaint,Closed,Excessive Force,No Finding,No,1132,African American / Black,Female,30-39,18,3,9
1008992,09/04/2007 09:48:51 PM,IPRA,Complaint,Closed,Excessive Force,UNFOUNDED,No,531,African American / Black,Male,0-19,21,3,9
1009011,09/05/2007 12:34:09 PM,IPRA,Complaint,Closed,Miscellaneous,NOT SUSTAINED,No,1133,African American / Black,Female,40-49,12,4,9
1009012,09/05/2007 01:06:45 PM,IPRA,Complaint,Closed,Excessive Force,No Finding,No,1223,Hispanic,Female,0-19,13,4,9
1009019,09/05/2007 03:30:08 PM,IPRA,Complaint,Closed,Excessive Force,NOT SUSTAINED,No,321,African American / Black,Male,50-59,15,4,9
1009026,09/05/2007 08:06:13 PM,IPRA,Complaint,Closed,Excessive Force,UNFOUNDED,No,2524,Hispanic,Male,0-19,20,4,9
1009047,09/06/2007 12:34:20 PM,IPRA,Complaint,Closed,Excessive Force,NOT SUSTAINED,No,1022,African American / Black,Male,20-29,12,5,9
1009048,09/06/2007 12:54:38 PM,IPRA,Complaint,Closed,Verbal Abuse,NOT SUSTAINED,No,1533,African American / Black,Female,30-39,12,5,9
1009052,09/06/2007 02:21:51 PM,IPRA,Complaint,Closed,Unnecessary Display of Weapon,No Finding,No,933,African American / Black,Male,40-49,14,5,9
1009053,09/06/2007 02:38:23 PM,IPRA,Complaint,Closed,Miscellaneous,NOT SUSTAINED,No,0 | 934 | 921 | 225 | 123,African American / Black,Male,30-39,14,5,9
1009053,09/06/2007 02:38:23 PM,IPRA,Complaint,Closed,Miscellaneous,NOT SUSTAINED,No,0 | 934 | 921 | 225 | 123,African American / Black,Male,30-39,14,5,9
1009053,09/06/2007 02:38:23 PM,IPRA,Complaint,Closed,Miscellaneous,NOT SUSTAINED,No,0 | 934 | 921 | 225 | 123,African American / Black,Male,30-39,14,5,9
1009053,09/06/2007 02:38:23 PM,IPRA,Complaint,Closed,Miscellaneous,NOT SUSTAINED,No,0 | 934 | 921 | 225 | 123,African American / Black,Male,30-39,14,5,9
1009058,09/06/2007 05:11:42 PM,IPRA,Complaint,Closed,Excessive Force,NOT SUSTAINED,No,1024,Hispanic,Male,20-29,17,5,9
1009061,09/06/2007 07:11:37 PM,IPRA,Complaint,Closed,Verbal Abuse,No Finding,No,2513,African American / Black,Male,30-39,19,5,9
1009062,09/06/2007 07:19:12 PM,IPRA,Complaint,Closed,Excessive Force,No Finding,No,1134,African American / Black,Male,20-29,19,5,9
1009062,09/06/2007 07:19:12 PM,IPRA,Complaint,Closed,Excessive Force,No Finding,No,1134,African American / Black,Male,20-29,19,5,9
1009063,09/06/2007 07:46:00 PM,IPRA,Complaint,Closed,Taser Notification,No Finding,No,321,African American / Black,Male,50-59,19,5,9
1009065,09/06/2007 09:26:07 PM,IPRA,Complaint,Closed,Verbal Abuse,NOT SUSTAINED,No,233,African American / Black,Male,20-29,21,5,9
1009065,09/06/2007 09:26:07 PM,IPRA,Complaint,Closed,Verbal Abuse,NOT SUSTAINED,No,233,African American / Black,Female,40-49,21,5,9
1009065,09/06/2007 09:26:07 PM,IPRA,Complaint,Closed,Verbal Abuse,NOT SUSTAINED,No,233,African American / Black,Male,50-59,21,5,9
1009070,09/07/2007 07:45:22 AM,IPRA,Complaint,Closed,Excessive Force,NOT SUSTAINED,No,1433,Hispanic,Male,30-39,7,6,9
1009073,09/07/2007 09:24:08 AM,IPRA,Complaint,Closed,Domestic Violence,SUSTAINED,No,412,African American / Black,Female,0-19,9,6,9
1009079,09/07/2007 10:37:30 AM,IPRA,Complaint,Closed,Miscellaneous,NOT SUSTAINED,No,1223,Hispanic,Female,30-39,10,6,9
1009083,09/07/2007 11:29:39 AM,IPRA,Complaint,Closed,Excessive Force,UNFOUNDED,No,824,African American / Black,Male,0-19,11,6,9
1009091,09/07/2007 01:28:45 PM,IPRA,Complaint,Closed,Unnecessary Display of Weapon,NOT SUSTAINED,No,3100,African American / Black,Male,30-39,13,6,9
1009096,09/07/2007 02:34:23 PM,IPRA,Complaint,Closed,Excessive Force,UNFOUNDED,No,334,African American / Black,Female,40-49,14,6,9
1009096,09/07/2007 02:34:23 PM,IPRA,Complaint,Closed,Excessive Force,UNFOUNDED,No,334,African American / Black,Male,0-19,14,6,9
1009105,09/07/2007 04:59:07 PM,IPRA,Complaint,Closed,Excessive Force,NOT SUSTAINED,No,924,African American / Black,Male,40-49,16,6,9
1009108,09/07/2007 08:53:39 PM,IPRA,Complaint,Closed,Excessive Force,No Finding,No,2513,African American / Black,Female,40-49,20,6,9
1009108,09/07/2007 08:53:39 PM,IPRA,Complaint,Closed,Excessive Force,No Finding,No,2513,African American / Black,Male,20-29,20,6,9
1009109,09/07/2007 09:00:15 PM,IPRA,Complaint,Closed,Excessive Force,UNFOUNDED,No,622,African American / Black,Female,40-49,21,6,9
1009117,09/08/2007 10:29:52 AM,IPRA,Complaint,Closed,Excessive Force,No Finding,No,1833,White,Male,30-39,10,7,9
1009120,09/08/2007 11:41:17 AM,IPRA,Complaint,Closed,Excessive Force,NOT SUSTAINED,No,422,African American / Black,Male,20-29,11,7,9
1009123,09/08/2007 12:43:56 PM,IPRA,Complaint,Closed,Excessive Force,NOT SUSTAINED,No,1822,Hispanic,Male,30-39,12,7,9
1009124,09/08/2007 12:46:36 PM,IPRA,Complaint,Closed,Excessive Force,UNFOUNDED,No,632,African American / Black,Female,30-39,12,7,9
1009131,09/08/2007 04:25:31 PM,IPRA,Complaint,Closed,Miscellaneous,UNFOUNDED,No,1822,African American / Black,Male,0-19,16,7,9
1009132,09/08/2007 04:48:05 PM,IPRA,Complaint,Closed,Excessive Force,No Finding,No,1524,African American / Black,Male,0-19,16,7,9
1009132,09/08/2007 04:48:05 PM,IPRA,Complaint,Closed,Excessive Force,No Finding,No,1524,African American / Black,Male,0-19,16,7,9
1009133,09/08/2007 05:27:10 PM,IPRA,Complaint,Closed,Miscellaneous,NOT SUSTAINED,No,812,White,Female,20-29,17,7,9
