Community Area,2000 Life Expectancy,2010 Life Expectancy
Rogers Park,73.1,77.3
West Ridge,78.1,80.3
Uptown,71.7,76.0
Lincoln Square,76.8,80.5
North Center,77.9,81.5
Lakeview,79.2,81.9
Lincoln Park,76.5,81.3
Near North Side,79.6,85.2
Edison Park,79.4,81.0
Norwood Park,78.4,80.9
Jefferson Park,79.3,79.7
Forest Glen,80.6,83.4
North Park,78.8,84.4
Albany Park,77.7,80.6
Portage Park,76.4,80.3
Irving Park,77.0,79.6
Dunning,79.2,79.8
Montclare ,79.3,79.6
Belmont Cragin,76.4,79.5
Hermosa,77.8,80.5
Avondale,77.8,79.8
Logan Square,75.1,80.3
Humboldt Park,71.2,74.5
West Town,75.8,79.5
Austin,69.6,71.9
West Garfield Park,66.8,68.8
East Garfield Park,65.7,71.7
Near West Side,72.8,78.9
North Lawndale,67.3,72.1
South Lawndale,76.8,82.2
Lower West Side,77.0,81.4
Loop,81.2,85.0
Near South Side,68.0,80.6
Armour Square,77.1,81.9
Douglas ,65.6,74.1
Oakland,68.3,73.6
Fuller Park,66.2,69.8
Grand Boulevard,64.4,74.1
Kenwood,74.2,80.5
Washington Park,63.8,68.9
Hyde Park,82.3,82.3
Woodlawn,68.5,74.5
South Shore,69.7,72.5
Chatham,71.4,74.0
Avalon Park,72.7,74.7
South Chicago,71.1,72.7
Burnside,71.1,71.9
Calumet Heights,73.3,77.1
Roseland,69.8,72.9
Pullman,71.2,76.4
South Deering,73.0,76.2
East Side,75.6,78.4
West Pullman,69.9,71.6
Riverdale,70.3,76.4
Hegewisch,73.3,77.1
Garfield Ridge,76.8,79.8
Archer Heights,77.0,79.5
Brighton Park,76.9,80.8
McKinley Park,74.8,80.4
Bridgeport,75.6,80.2
New City,72.4,74.4
West Elsdon,75.1,81.0
Gage Park,76.5,79.2
Clearing,75.6,77.5
West Lawn,74.9,80.5
Chicago Lawn,73.7,75.2
West Englewood,67.1,70.1
Englewood,66.7,70.7
Greater Grand Crossing,69.0,71.1
Ashburn,73.8,78.2
Auburn Gresham,68.9,72.6
Beverly,78.5,80.5
Washington Heights,70.8,74.9
Mount Greenwood,76.0,79.6
Morgan Park,72.7,75.3
O'Hare,80.4,82.2
Edgewater,76.5,79.8
CHICAGO ,73.9,77.8
