PARK,ZIP,ACRES,WARD
TILTON (GEORGE),60624.0,1.14,28
BRAINERD,60620.0,9.26,21
ELSTON (DANIEL),60618.0,0.52,33
WENDT (KENNETH),60657.0,0.17,44
DIXON (LORRAINE),60619.0,6.72,8
CHOPIN (FREDERIC),60641.0,9.28,30
PARK-VIEW,60618.0,0.79,30
ALGONQUIN,60618.0,0.16,33
MAPLEWOOD,60647.0,1.32,1
AUGUSTA (CARPENTER),60651.0,1.05,37
BICKERDIKE (GEORGE) SQUARE,60622.0,0.72,1
PARK NO. 419,60619.0,0.24,6
OGDEN (WILLIAM) PLAZA,60611.0,1.38,42
DUSABLE (JEAN BAPTISTE POINTE),60611.0,3.43,42
AUSTIN TOWN HALL,60644.0,3.71,29
HUBBARD (GURDON),60644.0,0.62,37
SAINT LOUIS,60624.0,0.45,28
DOGWOOD,60612.0,0.16,28
MUNROE,60655.0,5.69,19
LIN (MARGARET HIE DING),60616.0,0.28,3
PARK NO. 535,60614.0,0.14,43
"TOUHY-HERBERT (JOHN, VICTOR)",60612.0,3.26,27
THROOP (AMOS GAGER),60608.0,0.72,25
LONDON (LOUIS),60623.0,0.18,24
MCGUANE (JOHN),60608.0,10.3,11
HUMBERT (JAMES),60616.0,0.42,11
MCKEON (JOSEPH),60609.0,0.49,11
POPLAR,60653.0,0.24,3
HARSH (VIVIAN G.),60653.0,0.31,4
FULLER (MELVILLE),60609.0,11.31,3
BACK OF THE YARDS,60609.0,1.07,20
ELM,60615.0,0.52,4
LOWE (SAMUEL),60609.0,4.42,3
STROHACKER (HOWARD),60632.0,4.35,23
EDMONDS (MOLLY),60621.0,0.52,16
CARPENTER (PHILO),60621.0,0.28,16
PARK NO. 326,60637.0,0.22,20
WEST LAWN,60629.0,16.48,13
HASAN (ELLIOT),60649.0,0.35,5
MEMORIAL,60621.0,2.99,6
ROSENBLUM (J. LESLIE),60649.0,10.66,8
GRAVER (PHILIP),60643.0,5.16,19
RAILROAD JUNCTION,60619.0,0.25,8
CHICAGO WOMEN'S PARK AND GARDENS,60616.0,3.06,3
SCHAFER (CLARA D.),60617.0,15.47,10
NEIGHBORS' GARDEN,60647.0,0.16,32
LINCOLN (ABRAHAM),60614.0,1209.98,0
MARQUETTE (JACQUES),60629.0,315.63,17
RONAN (GEORGE),60625.0,11.97,0
ROGERS (PHILLIP) BEACH,60626.0,2.37,49
LEONE (SAM) BEACH,60626.0,2.74,49
MIDWAY PLAISANCE,60637.0,72.5,5
WILDWOOD,60646.0,9.51,3
MONUMENT,60631.0,1.61,41
MYRTLE GROVE,60631.0,1.72,41
JEFFERSON (THOMAS) MEML.,60630.0,7.96,45
JACOB,60625.0,0.89,40
JENSEN (CHRIST),60625.0,2.8,35
ROBINSON (JACKIE),60643.0,12.32,34
STOUT (FLORENCE),60615.0,2.81,5
DURKIN (MARTIN),60652.0,9.69,18
OWENS (JESSE),60617.0,18.42,8
JACKSON (ANDREW),60637.0,561.35,5
PRITZKER,60604.0,1.1,4
PARK NO. 556,60647.0,0.57,1
PARK NO. 571,60608.0,4.41,11
DONAHUE (MARGARET),60657.0,0.53,44
PALMER SQUARE,60647.0,8.09,0
HUMBOLDT (BARON VON),60622.0,210.85,26
MANDRAKE (HENRY BROWN),60653.0,10.01,4
MERRILL (GEORGE),60617.0,3.16,7
VETERANS' MEMORIAL,60617.0,4.81,10
HARRIS (HARRIET),60637.0,2.37,20
LOGAN SQUARE SKATE PARK,60647.0,1.61,32
TOUHY (PATRICK),60626.0,6.68,49
"LUNT (ORRINGTON, STEPHEN)",60645.0,0.2,50
MATANKY (EUGENE),60626.0,0.52,49
NORTH SHORE BEACH,60626.0,0.66,49
EMMERSON (LOUIS),60660.0,2.68,40
KORCZAK (JANUSZ),60659.0,0.28,40
MATHER (STEPHEN TYNG),60659.0,14.87,40
PETERSON (PEHR SAMUEL),60646.0,22.24,39
MULBERRY POINT,60631.0,0.07,41
ATHLETIC FIELD,60618.0,4.35,35
ORIOLE,60656.0,19.47,41
GRANDPARENTS',60656.0,1.79,41
FOREST GLEN,60630.0,0.42,39
NORTH MAYFAIR,60630.0,0.33,39
SPIKINGS FARM,60630.0,0.15,39
SUNKEN GARDENS,60625.0,0.32,47
BRONCHO BILLY,60640.0,0.51,46
BOHN (HENRY),60643.0,1.65,19
MOUNT GREENWOOD,60655.0,52.63,19
ADA (SAWYER GARRETT),60643.0,16.72,34
WHITE (EDWARD),60643.0,5.5,34
WEST PULLMAN,60628.0,16.18,34
GOLDEN GATE,60627.0,6.41,9
PARK NO. 517,60660.0,0.65,48
FILBERT,60613.0,0.12,47
BESSEMER (HENRY),60617.0,20.27,7
TULEY (MURRAY),60619.0,18.7,9
SHEIL (BERNARD) COMM. CTR.,60657.0,0.47,44
DOUGLAS (STEPHEN),60623.0,165.49,0
SUPERA,60614.0,0.42,43
RIIS (JACOB),60639.0,57.49,30
HAAS (JOSEPH),60647.0,1.78,1
KEYSTONE,60639.0,0.26,26
PARK NO. 414,60651.0,0.3,37
GRAND,60651.0,0.39,27
SUPERIOR,60612.0,0.34,1
OHIO,60644.0,0.48,28
JEFFERSON (NANCY),60612.0,0.63,27
GLADYS (GUNDERSON),60624.0,0.42,28
HOMAN SQUARE COMMUNITY CENTER,60624.0,5.46,24
MASON (ELIZABETH),60624.0,0.98,28
SCOTTSDALE,60652.0,2.48,18
PARK NO. 422,60624.0,0.86,28
DEARBORN (HENRY),60605.0,1.46,4
WELLES (GIDEON),60625.0,15.97,47
MCKIERNAN (DAVID),60655.0,2.18,19
LAMB (HAROLD),60643.0,0.97,34
PARK NO. 514,60651.0,0.7,26
ADAMS (GEORGE & ADELE),60614.0,0.78,43
ROBICHAUX (JOSEPH),60620.0,12.92,21
HIAWATHA,60634.0,14.04,38
AVONDALE,60618.0,1.31,35
FELLGER (CHARLES),60618.0,0.79,32
KENMORE,60657.0,0.16,44
PARSONS (LUCY),60641.0,0.33,30
WEISMAN (ALBERT),60657.0,0.4,44
NOETHLING (GRACE),60614.0,0.58,43
JONQUIL,60614.0,3.27,43
BLACKHAWK,60639.0,6.88,36
AIELLO (JOHN),60639.0,0.4,36
BAULER (MATHIAS),60614.0,0.84,43
WESTERN,60622.0,0.28,1
KELLS (GEORGE),60624.0,1.93,27
SNOWBERRY,60622.0,0.22,1
SWEET CLOVER,60644.0,0.23,37
DEBOW (RUSSELL),60619.0,0.69,8
WASHINGTON (DINAH),60617.0,0.48,8
LEVIN (JOHN),60644.0,7.04,37
KINZIE (JOHN) PKWY.,60644.0,0.96,37
MOORE (MAURICE),60644.0,3.74,28
CLARK (JOHN),60644.0,2.2,28
